#options: 640x1138 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=901 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:100 out:101 type:b dur:2 cpbdur:2 q:36.72 aq:37.84 tex:412 mv:1567 misc:837 imb:2 pmb:197 smb:2681 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:36.65 aq:31.12 tex:46925 mv:11213 misc:2454 imb:189 pmb:1502 smb:1189 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:36.63 aq:33.96 tex:1964 mv:3934 misc:1454 imb:12 pmb:389 smb:2479 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:36.62 aq:34.72 tex:649 mv:1224 misc:823 imb:3 pmb:171 smb:2706 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:36.64 aq:35.47 tex:591 mv:777 misc:536 imb:1 pmb:79 smb:2800 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:36.37 aq:30.84 tex:41332 mv:9595 misc:2521 imb:107 pmb:1468 smb:1305 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:36.51 aq:36.80 tex:884 mv:2173 misc:1119 imb:3 pmb:223 smb:2654 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:36.58 aq:38.45 tex:93 mv:216 misc:315 imb:0 pmb:20 smb:2860 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:36.44 aq:38.73 tex:243 mv:630 misc:647 imb:0 pmb:93 smb:2787 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:36.04 aq:30.29 tex:45872 mv:10334 misc:2586 imb:205 pmb:1493 smb:1182 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:36.21 aq:35.81 tex:1262 mv:2600 misc:1274 imb:3 pmb:316 smb:2561 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:36.29 aq:38.05 tex:222 mv:815 misc:491 imb:0 pmb:74 smb:2806 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:36.13 aq:34.74 tex:167 mv:455 misc:418 imb:1 pmb:48 smb:2831 d:- ref:0 ;
in:117 out:114 type:P dur:2 cpbdur:2 q:35.75 aq:30.18 tex:40802 mv:9134 misc:2608 imb:112 pmb:1448 smb:1320 d:- ref:0 ;
in:115 out:115 type:B dur:2 cpbdur:2 q:35.90 aq:35.25 tex:977 mv:1791 misc:832 imb:0 pmb:166 smb:2714 d:- ref:0 ;
in:114 out:116 type:b dur:2 cpbdur:2 q:35.97 aq:35.97 tex:156 mv:548 misc:592 imb:0 pmb:87 smb:2793 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:35.82 aq:36.06 tex:289 mv:355 misc:356 imb:0 pmb:38 smb:2842 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:35.42 aq:29.79 tex:40621 mv:9706 misc:2649 imb:152 pmb:1547 smb:1181 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:35.59 aq:30.84 tex:421 mv:1709 misc:1014 imb:3 pmb:183 smb:2694 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:35.67 aq:37.20 tex:42 mv:209 misc:301 imb:0 pmb:20 smb:2860 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:35.51 aq:34.41 tex:242 mv:662 misc:608 imb:0 pmb:90 smb:2790 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:35.10 aq:29.49 tex:52922 mv:11162 misc:2572 imb:179 pmb:1620 smb:1081 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:35.26 aq:35.33 tex:1139 mv:3430 misc:1623 imb:6 pmb:426 smb:2448 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:35.34 aq:33.39 tex:503 mv:1495 misc:842 imb:1 pmb:143 smb:2736 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:35.18 aq:35.77 tex:154 mv:331 misc:411 imb:0 pmb:36 smb:2844 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:34.87 aq:29.68 tex:53118 mv:10864 misc:2514 imb:152 pmb:1615 smb:1113 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:34.99 aq:34.61 tex:1846 mv:3301 misc:1421 imb:3 pmb:352 smb:2525 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:35.05 aq:35.68 tex:405 mv:1723 misc:1096 imb:1 pmb:214 smb:2665 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:34.93 aq:36.55 tex:403 mv:1005 misc:640 imb:1 pmb:106 smb:2773 d:- ref:0 ;
